Wie viele Lebensmittel, würdest Du sagen, werden in Deinem Haushalt normalerweise pro Woche weggeworfen?;IST;IST nach App-Nutzung;Wenn man bedenkt, dass 40% des Inhalts des durchschnittlichen Haushaltsmüll aus Lebensmitteln besteht, glaubst du, dass Du unter, über oder im Rahmen dieses Durchschnitts liegen?;IST;IST nach App-Nutzung;Was sind deiner Meinung nach die Hauptgründe für die Verschwendung von Lebensmitteln in deinem Haushalt? (Wähle bis zu drei);IST;IST nach App-Nutzung;Wie würdest Du persönlich deinen Umgang mit Lebensmittelabfällen einschätzen? 1 ist schlecht und 100 ist fantastisch.;IST;IST nach App-Nutzung;Schätzungen zufolge verschwenden Haushalte im Durchschnitt mindestens 20% der gekauften Lebensmittel. Was denkst Du, wie du im Haushalt im Vergleich dazu dasteht?;IST;IST nach App-Nutzung;Welche Lebensmittel werden deiner Meinung nach in deinem Haushalt am häufigsten verschwendet?;IST;IST nach App-Nutzung;Welche der folgenden Maßnahmen führst Du derzeit zu Hause durch? Kreuze so viele an, wie Du möchtest.;IST;IST nach App-Nutzung;Tust Du noch etwas anderes, um Lebensmittelabfälle zu vermeiden?;IST;IST nach App-Nutzung;Was motiviert Dich, Lebensmittelabfälle zu vermeiden? Wähle aus den folgenden Optionen oder teile uns deine Gedanken mit.;IST;IST nach App-Nutzung;"Wie überrascht bist Du von dieser Aussage - ""Wäre die Lebensmittelverschwendung ein Land, wäre es der drittgrößte Emittent von Treibhausgasen in der Welt. Lebensmittelabfälle tragen in hohem Maße zum Klimawandel bei.";IST;IST nach App-Nutzung
eine übermäßige Menge ;0;0;Im Einklang mit dem Durchschnitt;2;2;Wir verschwenden keine Lebensmittel in unserem Haushalt;2;1;Zahl;77;77;Mehr als das;0;0;Sugo, Salat, Gemüse, Brot;1;0;Vor dem Einkaufen den Kühlschrank/Gefrierschrank/die Vorratskammer überprüfen;7;8;Ich habe einen Komposthaufen ;1;2;Es ist einfach zu machen;4;3;Ich bin nicht überrascht. Ich wusste, dass Lebensmittelabfälle einen großen Beitrag zum Klimawandel leisten. ;6;5
mehr als ich sollte ;3;0;etwas darunter;3;3;Einige Haushaltsmitglieder essen ihre Mahlzeiten nicht immer auf;2;1;;;;Ungefähr gleich;1;1;Gekochter Reis und Nudeln;1;1;Einen Essensplan erstellen;1;1;Ich habe eine Wurmfarm ;0;0;Es spart Geld;7;7;Mäßig überrascht. Ich wusste, dass es einen Zusammenhang gibt, aber ich wusste nicht, dass er so bedeutend ist. ;3;3
eine angemessene Menge ;1;4;sehr weit darunter;4;4;Wir essen gerne so frisch wie möglich;0;2;;;;Weniger als das;8;8;Salat und Gemüse;1;0;Eine Einkaufsliste schreiben;7;4;Ich habe Hühner ;1;1;Es spart Zeit;0;0;Sehr überrascht. Ich hatte keine Ahnung, dass Lebensmittelverschwendung zum Klimawandel beiträgt.;1;1
sehr wenig ;5;4;etwas darüber;0;0;Familienmitglieder ändern ihre Pläne (und erscheinen nicht zum Essen);0;0;;;;Nicht sicher;1;0;Aufstriche, Gemüse;1;0;Nur das einkaufen, was gebraucht wird;3;5;Ich gebe Essensreste an meine Haustiere weiter ;0;2;Erwartungen der Familie;0;0;;;
keine ;1;1;sehr weit darüber;1;0;Wir sind im Allgemeinen zu beschäftigt, um geplante Mahlzeiten zu kochen;1;2;;;;;;;Aufstriche;1;0;Verfallsdatum und Mindesthaltbarkeitsdatum prüfen;8;6;Ich spende für einen Gemeinschaftskompost;0;0;Umweltbelange;8;7;;;
;;;;;;Wir wissen nicht, wie man Lebensmittel richtig lagert;1;0;;;;;;;Verdorbenes Gemüse, Obst;1;0;Überlegen Sie, wie die Lebensmittel gelagert werden, damit sie frisch bleiben;2;2;nichts;5;3;Es ist das Richtige zu tun;7;7;;;
;;;;;;Wir können Lebensmittel nicht richtig lagern;0;1;;;;;;;Gemüse;2;2;Portionsgröße berücksichtigen;3;1;"Ich verwende oder hab eine Smartphone-App verwendet, mit dem Ziel Lebensmittelverschwendung in meinem Haushalt zu reduzieren. Bitte den Name der App im Feld ""Sonstiges"" angeben. ";0;2;Um ehrlich zu sein, bin ich nicht sehr motiviert.;0;0;;;
;;;;;;Die Lebensmittel bleiben zu lange im Kühlschrank oder Gefrierschrank;8;6;;;;;;;Nur Lebensmittel die vorzeitig oder wegen zu langer Lagerung dann vielleicht doch verdorben sind;1;0;Reste verwenden;6;5;Sonstiges (bitte angeben) ;3;1;Sonstiges (bitte angeben);2;2;;;
;;;;;;Wir kochen zu viel Essen;2;1;;;;;;;Frischprodukte (Fleisch, Gemüse, Obst);1;0;Ich mache Gemüsebrühe aus meinen Essensresten;0;0;Ich versuche das zu essen, was bald abläuft bzw. schlecht werden. ;1;0;Respekt vor dem Lebensmittel und dessen Anbau/;1;1;;;
;;;;;;Lebensmittel verderben vor dem Verfallsdatum oder dem Mindesthaltbarkeitsdatum;3;1;;;;;;;Kartoffel, Salat;0;1;Nichts von alledem;0;0;Ich google Essensreste ;1;0;Wertschätzung;1;1;;;
;;;;;;Wir kaufen zu viele Lebensmittel;2;2;;;;;;;Salat, Austriche;0;1;Alle der oben genannten Punkte;1;0;Ich kaufe auch in Bio Selbstbedieungshütten regional im Waldviertel auf Dienstreise ;1;0;;;;;;
;;;;;;Wir überprüfen den Kühlschrank, die Gefriertruhe oder die Schränke nicht, bevor wir einkaufen gehen;0;0;;;;;;;Aufstrich, manchmal Gemüse;0;1;Sonstiges (bitte angeben);1;0;Biotonne;0;1;;;;;;
;;;;;;Wir neigen nicht dazu, Mahlzeiten im Voraus zu planen;2;1;;;;;;;Sugo, Obst, Gemüse, Brot;0;1;Wir verkochen dann auch alles was noch so da ist und freuen uns dass wir nichts verschwenden / vernichten müssen ;1;0;;;;;;;;;
;;;;;;Wir neigen nicht dazu, übrig gebliebene Zutaten für andere Mahlzeiten zu verwenden;1;0;;;;;;;Aufstriche;0;1;;;;;;;;;;;;
;;;;;;Sonstiges (bitte angeben);1;1;;;;;;;Nur verdorbenes oder Gläser die geöffnet wurden der Inhalt jedoch nicht schmeckt, sehr selten;0;1;;;;;;;;;;;;
;;;;;;Wir kaufen sehr gezielt ein und immer nur für 1-2 Tage, Somit gehen wir auch das Risiko ein, mal nichts zu Hause zu haben. Kein Drama ;1;0;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mein Mann verträgt einige Lebensmittel nicht und daher schaffe ich es oft nicht diese bestimmten Lebensmittel alleine fertig zu essen. ;0;1;;;;;;;;;;;;;;;;;;;;;
